variable_name,units,value,data_reference
rho,Js2_per_m5,1050,known
T,second,1,defined_by_user
q_ra_us,m3,0.000004,Korakianitis_2006_Table_1
q_rv_us,m3,0.00001,Korakianitis_2006_Table_1
q_la_us,m3,0.000004,Korakianitis_2006_Table_1
q_lv_us,m3,0.000005,Korakianitis_2006_Table_1
q_ra_init,m3,0.000004,Korakianitis_2006_Table_1
q_rv_init,m3,0.00001,Korakianitis_2006_Table_1
q_la_init,m3,0.000004,Korakianitis_2006_Table_1
q_lv_init,m3,0.0015,TO_BE_IDENTIFIED
T_ac,second,0.17,Liang_2009_Table_2
T_ar,second,0.17,Liang_2009_Table_2
t_astart,second,0.8,Liang_2009_Table_2
T_vc,second,0.34,Liang_2009_Table_2
T_vr,second,0.15,Liang_2009_Table_2
t_vstart,second,0,Liang_2009_Table_2
E_ra_A,J_per_m6,7998000,Liang_2009_Table_2
E_ra_B,J_per_m6,9331000,Liang_2009_Table_2
E_rv_A,J_per_m6,47188000,07_11_2022_identified
E_rv_B,J_per_m6,6665000,Liang_2009_Table_2
E_la_A,J_per_m6,9331000,Liang_2009_Table_2
E_la_B,J_per_m6,11997000,Liang_2009_Table_2
E_lv_A,J_per_m6,359830000,07_11_2022_identified
E_lv_B,J_per_m6,10664000,Liang_2009_Table_2
K_vo_trv,m3_per_Js,0.3,Mynard_2012
K_vo_puv,m3_per_Js,0.2,Mynard_2012
K_vo_miv,m3_per_Js,0.3,Mynard_2012
K_vo_aov,m3_per_Js,0.12,Mynard_2012
K_vc_trv,m3_per_Js,0.4,Mynard_2012
K_vc_puv,m3_per_Js,0.2,Mynard_2012
K_vc_miv,m3_per_Js,0.4,Mynard_2012
K_vc_aov,m3_per_Js,0.12,Mynard_2012
M_rg_trv,dimensionless,0,Mynard_2012
M_rg_puv,dimensionless,0,Mynard_2012
M_rg_miv,dimensionless,0,Mynard_2012
M_rg_aov,dimensionless,0,Mynard_2012
M_st_trv,dimensionless,1,Mynard_2012
M_st_puv,dimensionless,1,Mynard_2012
M_st_miv,dimensionless,1,Mynard_2012
M_st_aov,dimensionless,1,Mynard_2012
l_eff,metre,0.02,to_be_identified
A_nn_trv,m2,0.0008,Mynard_2012
A_nn_puv,m2,0.00071,Mynard_2012
A_nn_miv,m2,0.00077,Mynard_2012
A_nn_aov,m2,0.00068,Mynard_2012
E_ascending_aorta_A,J_per_m3,400000,ADAN_86
l_ascending_aorta_A,metre,0.0153234,ADAN_86
r_0_ascending_aorta_A,metre,0.015642,ADAN_86
u_0_ascending_aorta_A,J_per_m3,10640,AssumedRefOf80mmHg
theta_ascending_aorta_A,dimensionless,0,defined_by_user
u_ext_ascending_aorta_A,J_per_m3,0,user_defined
beta_g,dimensionless,0,user_defined
mu,Js_per_m3,0.004,known
g,m_per_s2,9.81,known
a_vessel,dimensionless,0.2802,TODO_reference
b_vessel,per_m,-505.3,TODO_reference
c_vessel,dimensionless,0.1324,TODO_reference
d_vessel,per_m,-11.14,TODO_reference
E_ascending_aorta_B,J_per_m3,400000,ADAN_86
l_ascending_aorta_B,metre,0.014796,ADAN_86
r_0_ascending_aorta_B,metre,0.01508,ADAN_86
u_0_ascending_aorta_B,J_per_m3,10640,AssumedRefOf80mmHg
u_ext_ascending_aorta_B,J_per_m3,0,user_defined
theta_ascending_aorta_B,dimensionless,0,defined_by_user
E_ascending_aorta_C,J_per_m3,400000,ADAN_86
l_ascending_aorta_C,metre,0.014796,ADAN_86
r_0_ascending_aorta_C,metre,0.0145305,ADAN_86
u_0_ascending_aorta_C,J_per_m3,10640,AssumedRefOf80mmHg
u_ext_ascending_aorta_C,J_per_m3,0,user_defined
theta_ascending_aorta_C,dimensionless,0,defined_by_user
E_ascending_aorta_D,J_per_m3,400000,ADAN_86
l_ascending_aorta_D,metre,0.014796,ADAN_86
r_0_ascending_aorta_D,metre,0.013914,ADAN_86
u_0_ascending_aorta_D,J_per_m3,10640,AssumedRefOf80mmHg
u_ext_ascending_aorta_D,J_per_m3,0,user_defined
theta_ascending_aorta_D,dimensionless,0,defined_by_user
E_aortic_arch_C2,J_per_m3,400000,ADAN_86
l_aortic_arch_C2,metre,0.014796,ADAN_86
r_0_aortic_arch_C2,metre,0.0133364,ADAN_86
u_0_aortic_arch_C2,J_per_m3,10640,AssumedRefOf80mmHg
theta_aortic_arch_C2,dimensionless,90,defined_by_user
u_ext_aortic_arch_C2,J_per_m3,0,user_defined
E_aortic_arch_C46,J_per_m3,400000,ADAN_86
l_aortic_arch_C46,metre,0.00960849,ADAN_86
r_0_aortic_arch_C46,metre,0.0127671,ADAN_86
u_0_aortic_arch_C46,J_per_m3,10640,AssumedRefOf80mmHg
theta_aortic_arch_C46,dimensionless,90,defined_by_user
u_ext_aortic_arch_C46,J_per_m3,0,user_defined
E_aortic_arch_C64,J_per_m3,400000,ADAN_86
l_aortic_arch_C64,metre,0.00697955,ADAN_86
r_0_aortic_arch_C64,metre,0.0124288,ADAN_86
u_0_aortic_arch_C64,J_per_m3,10640,AssumedRefOf80mmHg
theta_aortic_arch_C64,dimensionless,90,defined_by_user
u_ext_aortic_arch_C64,J_per_m3,0,user_defined
E_brachiocephalic_trunk_C4,J_per_m3,400000,ADAN_86
l_brachiocephalic_trunk_C4,metre,0.0473822,ADAN_86
r_0_brachiocephalic_trunk_C4,metre,0.00641887,ADAN_86
u_0_brachiocephalic_trunk_C4,J_per_m3,10640,AssumedRefOf80mmHg
theta_brachiocephalic_trunk_C4,dimensionless,0,defined_by_user
u_ext_brachiocephalic_trunk_C4,J_per_m3,0,user_defined
E_subclavian_L66,J_per_m3,400000,ADAN_86
l_subclavian_L66,metre,0.0494669,ADAN_86
r_0_subclavian_L66,metre,0.00399235,ADAN_86
u_0_subclavian_L66,J_per_m3,10640,AssumedRefOf80mmHg
theta_subclavian_L66,dimensionless,90,defined_by_user
u_ext_subclavian_L66,J_per_m3,0,user_defined
E_subclavian_L78,J_per_m3,400000,ADAN_86
l_subclavian_L78,metre,0.0411396,ADAN_86
r_0_subclavian_L78,metre,0.00290824,ADAN_86
u_0_subclavian_L78,J_per_m3,10640,AssumedRefOf80mmHg
u_ext_subclavian_L78,J_per_m3,0,user_defined
theta_subclavian_L78,dimensionless,90,defined_by_user
E_brachial_L82,J_per_m3,400000,ADAN_86
l_brachial_L82,metre,0.223119,ADAN_86
r_0_brachial_L82,metre,0.00196732,ADAN_86
u_0_brachial_L82,J_per_m3,10640,AssumedRefOf80mmHg
u_ext_brachial_L82,J_per_m3,0,user_defined
theta_brachial_L82,dimensionless,180,defined_by_user
E_common_carotid_L48_A,J_per_m3,400000,ADAN_86
l_common_carotid_L48_A,metre,0.030339,ADAN_86
r_0_common_carotid_L48_A,metre,0.00436635,ADAN_86
u_0_common_carotid_L48_A,J_per_m3,10640,AssumedRefOf80mmHg
u_ext_common_carotid_L48_A,J_per_m3,0,user_defined
theta_common_carotid_L48_A,dimensionless,0,defined_by_user
E_common_carotid_L48_B,J_per_m3,400000,ADAN_86
l_common_carotid_L48_B,metre,0.030339,ADAN_86
r_0_common_carotid_L48_B,metre,0.00412756,ADAN_86
u_0_common_carotid_L48_B,J_per_m3,10640,AssumedRefOf80mmHg
u_ext_common_carotid_L48_B,J_per_m3,0,user_defined
theta_common_carotid_L48_B,dimensionless,0,defined_by_user
E_common_carotid_L48_C,J_per_m3,400000,ADAN_86
l_common_carotid_L48_C,metre,0.030339,ADAN_86
r_0_common_carotid_L48_C,metre,0.00392047,ADAN_86
u_0_common_carotid_L48_C,J_per_m3,10640,AssumedRefOf80mmHg
u_ext_common_carotid_L48_C,J_per_m3,0,user_defined
theta_common_carotid_L48_C,dimensionless,0,defined_by_user
E_common_carotid_L48_D,J_per_m3,400000,ADAN_86
l_common_carotid_L48_D,metre,0.030339,ADAN_86
r_0_common_carotid_L48_D,metre,0.00357978,ADAN_86
u_0_common_carotid_L48_D,J_per_m3,10640,AssumedRefOf80mmHg
theta_common_carotid_L48_D,dimensionless,0,defined_by_user
u_ext_common_carotid_L48_D,J_per_m3,0,user_defined
E_common_carotid_R6_A,J_per_m3,400000,ADAN_86
l_common_carotid_R6_A,metre,0.0270844,ADAN_86
r_0_common_carotid_R6_A,metre,0.00443053,ADAN_86
